id_uf,ano,gini_pib,gini_va_agro,gini_va_industria,gini_va_servicos,gini_va_adespss
24,2018,0.786695,0.686786,0.864146,0.866967,0.645893
42,2018,0.764828,0.426516,0.782655,0.812673,0.685824
43,2018,0.779495,0.505752,0.846428,0.841405,0.71361
16,2018,0.765715,0.351521,0.753987,0.863286,0.718192
27,2018,0.719386,0.605134,0.863922,0.833257,0.564374
21,2018,0.72605,0.588167,0.90919,0.810453,0.519293
32,2018,0.769704,0.448752,0.843417,0.797557,0.624357
17,2018,0.714197,0.527302,0.858886,0.845032,0.599739
29,2018,0.783131,0.713434,0.891263,0.842243,0.571468
33,2018,0.830066,0.558347,0.836551,0.850562,0.764802
28,2018,0.741566,0.510941,0.835264,0.830283,0.596806
26,2018,0.787867,0.638037,0.886819,0.852705,0.601351
51,2018,0.702004,0.624149,0.785966,0.793643,0.630631
35,2018,0.870907,0.518667,0.861184,0.896856,0.784629
31,2018,0.818877,0.653775,0.897812,0.856303,0.679511
50,2018,0.676322,0.487352,0.801982,0.772349,0.631539
11,2018,0.68859,0.328205,0.842169,0.796976,0.616877
52,2018,0.781696,0.636746,0.848046,0.840407,0.728019
22,2018,0.763947,0.74491,0.896451,0.867278,0.596255
25,2018,0.779396,0.529717,0.906489,0.866831,0.608818
12,2019,0.697213,0.321513,0.815807,0.824092,0.589063
13,2019,0.865525,0.533903,0.957885,0.914634,0.659474
31,2019,0.817957,0.647085,0.89192,0.853458,0.678767
35,2019,0.870916,0.532664,0.859577,0.897005,0.783894
21,2019,0.719922,0.596986,0.898593,0.806116,0.516881
25,2019,0.783012,0.537125,0.897997,0.870651,0.608562
29,2019,0.776351,0.661838,0.890289,0.838736,0.570637
52,2019,0.779745,0.63486,0.840271,0.8406,0.727884
50,2019,0.678223,0.493427,0.790183,0.772935,0.635238
26,2019,0.786735,0.659035,0.885355,0.85115,0.603399
11,2019,0.69649,0.323482,0.873022,0.799542,0.61837
32,2019,0.761845,0.477371,0.827348,0.795817,0.624555
33,2019,0.824804,0.550287,0.83847,0.845334,0.76456
51,2019,0.697208,0.613724,0.774681,0.796057,0.631598
14,2019,0.736621,0.378542,0.859567,0.860811,0.663176
15,2019,0.732364,0.500513,0.90651,0.810603,0.542461
